Accession,Date
KY047763,2005-01-01
NC_024781,1987-01-01
MF939097,2017-07-01
KU179482,1987-08-19
KM261523,2014-01-15
KC545387,2012-01-01
KC545388,2012-01-01
JX458827,2000-01-01
JX458828,2000-01-01
JX458829,2000-01-01
JX458830,1999-01-01
JX458831,2000-01-01
JX458832,2000-01-01
JX458833,1999-01-01
JX458834,2000-01-01
JX458835,2000-01-01
JX458836,2000-01-01
JX458837,2000-01-01
JX458838,2000-01-01
JX458839,2000-01-01
JX458840,2000-01-01
JX458841,2000-01-01
JX458842,2000-01-01
JX458843,2000-01-01
JX458844,2000-01-01
JX458845,2000-01-01
JX458846,2000-01-01
JX458847,2000-01-01
JX458848,2000-01-01
JX458849,2000-01-01
JX458850,2000-01-01
JX458851,1999-01-01
JX458852,2008-01-01
JX458853,2008-01-01
JX458854,2009-01-01
JX458855,2009-01-01
JX458856,2009-01-01
JX458857,2009-01-01
JX458858,2009-01-01
GQ433351,1967-01-01
FJ750953,2007-01-01
FJ750954,2007-01-01
FJ750955,2007-01-01
FJ750956,2008-01-01
FJ750957,2007-01-01
FJ750958,2007-01-01
FJ750959,2007-01-01
EU500826,1987-01-01
EU500827,1987-01-01
EU500828,1987-01-01
EF446131,1987-01-01
DQ447649,1987-01-01
DQ447650,1999-05-01
DQ447651,1999-05-01
DQ447652,1999-05-01
DQ447653,2005-03-01
DQ447654,2005-03-01
DQ447655,2005-03-01
DQ447656,2005-04-01
DQ447657,2005-04-01
DQ447658,2005-04-01
DQ447659,2005-04-01
DQ447660,2005-05-01
KP985768,2014-01-01
KR867677,2005-03-13
KR063674,2005-03-13
JX458825,1999-01-01
JX458826,1999-01-01
JN408064,2008-01-01
GQ433352,1967-01-01
GQ433353,1967-01-01
MH638315,2017-10-25
EF446132,1967-01-01
MT586762,2005-01-01
MN258361,2017-06-12
KU059750,2007-01-01
MN187403,2018-01-01
MN187404,2018-01-01
MN187405,2018-01-01
MN187406,2018-01-01
KU978782,2005-01-01
MG725616,2013-07-01
OL702894,2021-08-09
KY425629,2005-03-13
KY047764,2013-01-01
MH638314,2017-10-13
OK665848,2021-08-03
MN258362,2017-12-11
MT321489,2017-01-01
